,Date,Tweet,Id,Label
36621,2022-02-19 08:50:11+00:00,"@MehmetAmca06 Kadın cinayetlerinin başına yazabileceğimiz sebep süresiz nafaka.
Kadının beyanı esastır cümlesi tam bir dayatma,tahrik unsuru .istanbul sözleşmesi türk toplumu için tam bir facia,tahrip bombası.",1.49495747391195E+018,negative
9760,2021-03-20 21:02:07+00:00,"#istanbulsözleşmesi
İlginç olan 
Yürürlüğe girdiğinde alkışlayanlar 
Kaldırıldığı içinde alkışlıyor 
Asıl sorun budur",1.37337934999553E+018,neutral
2900,2021-06-16 20:53:23+00:00,"Kadir Şeker  utanmadan cezalandırıyorken!Böyle haysiyetsiz,şerefsiz pisliklerin “ev hapsi” adı altında serbest kalması! Şerefsizin kim olduğunu araştırınca #istanbulsözleşmesi ‘ni neden istemedikleri de yeterince aşikar aslında! Ulan yatacak yeriniz yok!#MehmetKaplanTutuklansın",1.40526728105201E+018,positive
22092,2021-03-20 10:05:56+00:00,#İstanbulSözleşmesi https://t.co/nK7BqRYnMV,1.3732142140143E+018,neutral
50127,2021-03-20 09:26:24+00:00,"@sassyluvz @CemreKisa @mirnawie @bpthaber Kadın öldürmek, daha doğrusu insan öldürmek zaten yasak. E bunu ""daha da yasak yapmak"" kimi durduracak? Kadın öldüren zaten suç işlediğini bilerek kadın öldürüyor. Bir katil ""Aa istanbul sözleşmesi vardı"" diyerek öldürmek üzere olduğu kadını öldürmekten vaz mı geçicek?",1.3732042638166E+018,negative
5575,2021-03-24 21:57:52+00:00,Ne suçu vardı o çocuğun ? Ne suçu var bu kadınların ki her gün bir kadına çocuğa  şiddet tecavüz haberleriyle uyanıyoruz ! #TekirdagdaNelerOluyor  #istanbulsoezlesmesi,1.37484293039393E+018,neutral
26695,2021-03-20 08:44:28+00:00,"Türkiye İstanbul Sözleşmesinden Ayrıldı. Bakın tarihte neye şahit oluyoruz biliyor musunuz? Kadınlarının yanında olmayan bir ülkeye.kadına istediğini yapma hakkı veren bir devlete...
#istanbulsoezlesmesi 
#istanbulsozlesmesiyasatir 
#AklınızdanBileGecirmeyin",1.37319371453806E+018,positive
43171,2021-04-01 20:52:15+00:00,@wonderwonsS @RtNa68 @solcugazete iftira mı mor halkalı kısa birörnek chpdeki taciz tecavüzlere sesi çıkmayan canan ne komik durumki istanbul sözleşmesi diyende canan,1.37772551849837E+018,positive
20325,2021-03-20 10:40:13+00:00,"Gün Geçtikçe Kadın Haklarının Çoğalması Gerekirken Daha Kötüye Giden Tek Ülkeyiz.
#istanbulsözleşmesi https://t.co/1vrlNKkgmo",1.3732228405526E+018,positive
27469,2021-03-20 08:28:44+00:00,#İstanbulSözleşmesi #istanbulsozlesmesiyasatir https://t.co/Fe7tII5oBd,1.37318975436431E+018,positive
41396,2021-05-11 11:46:23+00:00,"vazgeçmeyeceğiz, istanbul sözleşmesi yaşatır!! #İstanbulSözleşmesi10Yaşında",1.392083664541E+018,positive
10546,2021-03-20 18:55:35+00:00,"Türkiye’de 2008-2013 tarihlerinde 937, İstanbul Antlaşmasının yürülülüğe girmesinden sonra (2014-2019) ise 2.248 kadın cinayeti işlenmiştir. Yani sözleşmeden önceki 6 yılın toplamından iki kat fazla kadın cinayet işlendi. aynen istanbul sözleşmesi yaşatır. #istanbulsözleşmesi",1.37334750438585E+018,negative
26126,2021-03-20 08:56:07+00:00,"Ben ölmek istemiyorum, o yüzden bugün daha yüksek sesle #istanbulsozlesmesiyasatir #istanbulsoezlesmesi",1.37319664663754E+018,positive
33972,2021-03-20 04:53:23+00:00,#İstanbulSözleşmesi dı....,1.37313555927155E+018,neutral
30246,2021-03-20 07:23:02+00:00,"#istanbulsözleşmesiuygulansın
#istanbulsözleşmesindenvazgeçmiyoruz
#istanbulsözleşmesi",1.37317321839627E+018,positive
4824,2021-03-28 07:38:09+00:00,indanlarndşyorki istanbul sözleşmesi varken de kadına şiddet ve cinayet durmuyordu. zaten yasalar ve #istanbulsözleşmesi uygulanmadığı için Kadın Cinayetleri Politiktir diyoruz . akp kadınları korumamayı tercih ediyor #AKdavaDedikleri #pudrasekeri #Akpcocuklari,1.37607612469073E+018,positive
21051,2021-03-20 10:24:47+00:00,Gerçekten yazık ne hale geldik #istanbulsoezlesmesi #istanbulsozlesmesiyasatir,1.37321895809929E+018,positive
31785,2021-03-20 06:41:50+00:00,"""Ey kahraman Türk kadını, sen yerde sürüklenmeye değil, omuzlar üzerinde göklere yükselmeye layıksın."" diyen Mustafa Kemal'i özledim.   
#MustafaKemalAtatürk 
#istanbulsoezlesmesi https://t.co/lCHqFQHEoU",1.37316284940985E+018,positive
30289,2021-03-20 07:22:00+00:00,"VE SONUNDA TÜRKİYE'YE KARANLIK ÇAĞ GERİ DÖNDÜ.
TÜRKİYE  İSTANBUL SÖZLEŞMESİNDEN ÇEKİLDİ.
#istanbulsoezlesmesi",1.37317296027037E+018,positive
43185,2021-04-01 18:39:05+00:00,#28Kadın yaşayabilirdi ama istanbul sözleşmesi uygulanmadığı için öldürüldü,1.37769200868963E+018,positive
48676,2021-03-20 15:11:17+00:00,"istanbul  sözleşmesi,  aileyi  yıkmıyor;  boşanmaları  artırmıyor.  şiddet  gören  kadına,  bulunduğu  şiddet  mekanından  çıkabilme,  kendini,  kurtarabilme,  koruyabilme,  tek  başına  onuruyla  haysiyetiyle  ayakta  kalabilme  cesareti,  desteği  veriyor.  bunu  istemiyorlar.",1.37329105929235E+018,positive
29669,2021-03-20 07:37:49+00:00,#İstanbulSözleşmesi #KadınCinayetleriPolitiktir #Cumartesi https://t.co/7uogodY6SP,1.37317694050549E+018,neutral
31758,2021-03-20 06:42:32+00:00,#İstanbulSözleşmesi #İstanbulsözleşmesiyaşatır dı...,1.37316302540284E+018,positive
12741,2021-03-20 15:56:39+00:00,"Turkey sees no need for action... #istanbulsoezlesmesi #IstanbulConvention 
#istanbulsozlesmesiyasatir https://t.co/rd84fOJSlP",1.37330247383897E+018,positive
7817,2021-03-21 15:19:06+00:00,"#istanbulsozlesmesiyasatir #istanbulsoezlesmesi #istanbulsozlesmesi #istabulsozlesmesiyasatır 
https://t.co/efaR7OTYlg",1.37365541398034E+018,positive
27668,2021-03-20 08:24:43+00:00,Hadi beyler hadi takipleselim GT yapalim seri dm unutma ✌️#İstanbulSözleşmesi,1.37318874131401E+018,neutral
18020,2021-03-20 11:35:18+00:00,İstediğimiz saatte istediğimiz yerde olmak istiyoruz. Gitmeseydi yapmasaydı gibi bahanelerle katledilmek istemiyoruz. Korunmak istiyoruz. Yaşamak istiyoruz. #istanbulsözleşmesi,1.37323670572624E+018,positive
43823,2021-03-27 16:38:29+00:00,"istanbul sözleşmesi
. taraftarları sevinebilir
feshedilse bile uygulama kanunu
6284 SK yürürlükte
. karşıtları sevinebilir
pratikte karşılığı olmasa da
sözleşme feshedildi
siz buna hangi anlam yüklersiniz
bilmem(!) ama yarım yarım
iki taraf memnun edildi🤔
https://t.co/MXwCuRFY8J",1.37584971776303E+018,neutral
1782,2021-07-01 18:40:09+00:00,"Bir insanı diğer insanın şiddetinden hiçbir yasa/anlaşma/sözleşme kurtaramaz. Ancak caydırıcı olabilir. 
#istanbulsözleşmesi içeriğini bilmiyorum ama hiç önemli değil. Seneye büyük ihtimal sivil ANAYASA için referandum yapılacak. 
Önemli olan o anayasanın içeriği olacak.",1.41066956974052E+018,neutral
17064,2021-03-20 12:04:45+00:00,"sizin vicdanınız merhametiniz yok anlamıyor musunuz her kadın öldüğünde hepimiz ölüyoruz yapılan her şiddet tüm kadınları ilgilendiriyor biz ölmek istemiyoruz biz yaşamak istiyoruz yarın acaba sıra kimde diye düşünmek istemiyoruz vicdanınız cehenneminiz olsun
#istanbulsözleşmesi",1.37324411648254E+018,positive
1659,2021-07-01 21:56:45+00:00,#istanbulsözleşmesi #Vazgeçmiyoruz https://t.co/6vHjo4w0Us,1.410719046644E+018,positive
46009,2021-03-22 09:56:16+00:00,Türkiyede istedikleri olmayinca emir geliyor belli ermaye cevreleri dovize saldırıyor. Geçengün bi açıklama yapıldı istanbul sözleşmesi iptal edildi . Ve bugun açıklanacak olan cok önemli kararları sülkule etmek için ülkesini satanlar iş başında. 🇹🇷🇹🇷🇹🇷🙋‍♂️,1.37393655555595E+018,neutral
4021,2021-04-14 09:01:56+00:00,"Meral Akşener feminist tavır alıyor “kadın -kadın “diyor , ama ülkeyi ADAM gibi yönetin diyor 
Sayın @meral_aksener DÜZGÜN ve ya DOĞRU DÜZGÜN yönetin demeniz daha yerinde olurdu
Siyasette bilimde sanatta hayatın her alanında bu dili terk etmek #istanbulsözleşmesi kadar önemlidir",1.38225780506377E+018,positive
41637,2021-05-06 16:54:42+00:00,"Hoca, kadına ""aferin sana"".sabrettiğin için.Müslüman kadın böyle olmalıdır diyor.Ardından hiç alakasız Dursun ve fadime fıkrası anlatıyor😣#istanbul sözleşmesi yaşatır. https://t.co/PKgAkka9b9",1.39034931327715E+018,positive
35069,2021-03-20 01:34:59+00:00,"Dört yetişkin var diyelim, iki kadın, iki erkek. Birer erkek ve kadından oluşan iki çift şeklinde yaşasalar sorun olmuyor ama erkek erkeği, kadın kadını severse sorun oluyor #istanbulsözleşmesi karşıtlarına göre. Niye? Bu dört kişinin ne yaşadığı seni neden ilgilendirsin ki?",1.37308563006286E+018,positive
48162,2021-03-20 17:30:27+00:00,@Medyascopetv Medyascope bir nevi kutlama mı yapıyor ya da tam da istanbul sözleşmesi iptal edildiği gün ona karşı olduğunu açıkça söyleyen gerici bir siyasiye yer vererek konuyu onayladığını mı belirtiyor. Sizin aklınızdan zorunuz mu var ?,1.37332608052279E+018,positive
11609,2021-03-20 17:19:04+00:00,@lanadrsgf TURKEY IS NOT SAFE FOR WOMEN  #KadınCinayetleriPolitiktir #istanbulsozlesmesiyasatir #AklınızdanBileGecirmeyin #İstanbulSözleşmesi,1.37332321423183E+018,positive
