Id,Label
1.49495747391195E+018,negative
1.37337934999553E+018,neutral
1.40526728105201E+018,positive
1.3732142140143E+018,neutral
1.3732042638166E+018,negative
1.37484293039393E+018,neutral
1.37319371453806E+018,positive
1.37772551849837E+018,positive
1.3732228405526E+018,positive
1.37318975436431E+018,positive
1.392083664541E+018,positive
1.37334750438585E+018,negative
1.37319664663754E+018,positive
1.37313555927155E+018,neutral
1.37317321839627E+018,positive
1.37607612469073E+018,positive
1.37321895809929E+018,positive
1.37316284940985E+018,positive
1.37317296027037E+018,positive
1.37769200868963E+018,positive
1.37329105929235E+018,positive
1.37317694050549E+018,neutral
1.37316302540284E+018,positive
1.37330247383897E+018,positive
1.37365541398034E+018,positive
1.37318874131401E+018,neutral
1.37323670572624E+018,positive
1.37584971776303E+018,neutral
1.41066956974052E+018,neutral
1.37324411648254E+018,positive
1.410719046644E+018,positive
1.37393655555595E+018,neutral
1.38225780506377E+018,positive
1.39034931327715E+018,positive
1.37308563006286E+018,positive
1.37332608052279E+018,positive
1.37332321423183E+018,positive
1.37313338477236E+018,negative
1.37620647689775E+018,positive
1.37316191318671E+018,positive
1.37329219657783E+018,neutral
1.37324593157604E+018,positive
1.48962124615331E+018,positive
1.3731920115961E+018,positive
1.3732783393734E+018,neutral
1.37319124682349E+018,neutral
1.37322908267096E+018,negative
1.38677531525144E+018,positive
1.37322100750753E+018,positive
1.37483299806819E+018,neutral
1.37314243641595E+018,positive
1.37321212941163E+018,positive
1.37327822077527E+018,positive
1.37317041372386E+018,positive
1.37357164331081E+018,negative
1.37320747034524E+018,negative
1.37319174037564E+018,neutral
1.37306450660839E+018,positive
1.45889811374219E+018,positive
1.37314116566353E+018,negative
1.40869176450498E+018,neutral
1.37319915102713E+018,neutral
1.4618214543334E+018,positive
1.37336700024903E+018,neutral
1.37945742850538E+018,negative
1.37322857031998E+018,neutral
1.3732108495617E+018,neutral
1.37320510313038E+018,positive
1.37403792633459E+018,neutral
1.37324762461104E+018,positive
1.37320153969164E+018,positive
1.37321146681649E+018,positive
1.3731984435906E+018,positive
1.44238553208916E+018,negative
1.37320918149539E+018,negative
1.37340261626954E+018,positive
1.37328027077903E+018,positive
1.37355403210779E+018,neutral
1.37468682364618E+018,neutral
1.37431828086174E+018,positive
1.37321374152178E+018,positive
1.37309395887266E+018,negative
1.41026689595415E+018,positive
1.37324732585915E+018,positive
1.40085297165993E+018,negative
1.37324449859628E+018,positive
1.37323302286723E+018,neutral
1.37321532243884E+018,positive
1.37316953281523E+018,neutral
1.37321941112186E+018,positive
1.37320034945723E+018,positive
1.37313400954751E+018,neutral
1.43601969506957E+018,neutral
1.37407406866054E+018,positive
1.3732923151844E+018,positive
1.41047716126224E+018,positive
1.37320672940045E+018,positive
1.37320999248507E+018,neutral
1.37412570025341E+018,positive
1.39671865981764E+018,positive
1.37466091052718E+018,positive
1.3732027919556E+018,positive
1.45338719787747E+018,positive
1.37326487681099E+018,positive
1.37313273229804E+018,negative
1.37322561841077E+018,negative
1.3736538815284E+018,neutral
1.37358892904003E+018,positive
1.3732119361717E+018,neutral
1.37358866148113E+018,neutral
1.37770371722767E+018,positive
1.46608585660378E+018,positive
1.37313158128877E+018,positive
1.37319826466583E+018,neutral
1.37335496074691E+018,neutral
1.37329159691397E+018,positive
1.37320643395788E+018,positive
1.3732250325797E+018,positive
1.37318697749175E+018,negative
1.44803604077056E+018,neutral
1.37411786015548E+018,positive
1.37322380163116E+018,neutral
1.40888296824083E+018,positive
1.37321880834166E+018,neutral
1.37340233984393E+018,positive
1.37318989410587E+018,positive
1.3734041151796E+018,positive
1.47009594714955E+018,negative
1.37318089347349E+018,positive
1.44764726065805E+018,positive
1.37312093560834E+018,positive
1.37330265598501E+018,neutral
1.41121290409186E+018,positive
1.37316794629876E+018,positive
1.40249185118625E+018,positive
1.37324857918849E+018,positive
1.37321209038361E+018,positive
1.37325770697962E+018,positive
1.37328545998459E+018,negative
1.37319235467339E+018,neutral
1.39251411411994E+018,positive
1.37314045800893E+018,neutral
1.3730798175796E+018,neutral
1.37327191358638E+018,positive
1.37355190618282E+018,neutral
1.3733318323228E+018,neutral
1.38755826769879E+018,negative
1.37320548399416E+018,positive
1.37323707913674E+018,positive
1.37322760416626E+018,neutral
1.37320855375908E+018,negative
1.37319424366623E+018,positive
1.37327503695459E+018,neutral
1.3732661946403E+018,negative
1.37319904113632E+018,neutral
1.37323513979118E+018,positive
1.37326987764192E+018,positive
1.37318695402045E+018,positive
1.37319312765423E+018,negative
